"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
reflex_sometimes_other,g_enterics,,notes,"<div class=""rich-text-field-label""><p>G3bii1. Other, please specify when.</p></div>",,,,,,,"[campy_reflex_sometimes(OTHER)] = '1' or [stec_reflex_sometimes(OTHER)] = '1' or [salm_reflex_sometimes(OTHER)] = '1' or [shig_reflex_sometimes(OTHER)] = '1' or [vib_reflex_sometimes(OTHER)] = '1' or [yers_reflex_sometimes(OTHER)] = '1'",,LV,,,,
campy_reflex_sendout,g_enterics,"G3biii. If No, do you send stool to a reference laboratory for culture (not the state public health laboratory)?",radio,"<span style=""font-style:italic;"">Campylobacter</span>","YES, Yes, always|SOMETIMES, Sometimes|NO, No, never",,,,,,"[campy_reflex] = 'NO'",,,,reflex_sendout,,
stec_reflex_sendout,g_enterics,,radio,"<span style=""font-style:italic;"">E. coli</span> O157 (stool culture for E. coli O157 using selective media, e.g. SMAC, CT-SMAC, CHROMager O157)","YES, Yes, always|SOMETIMES, Sometimes|NO, No, never",,,,,,"[stec_reflex] = 'NO'",,,,reflex_sendout,,
salm_reflex_sendout,g_enterics,,radio,"<span style=""font-style:italic;"">Salmonella</span>","YES, Yes, always|SOMETIMES, Sometimes|NO, No, never",,,,,,"[salm_reflex] = 'NO'",,,,reflex_sendout,,
shig_reflex_sendout,g_enterics,,radio,"<span style=""font-style:italic;"">Shigella</span>","YES, Yes, always|SOMETIMES, Sometimes|NO, No, never",,,,,,"[shig_reflex] = 'NO'",,,,reflex_sendout,,
vib_reflex_sendout,g_enterics,,radio,"<span style=""font-style:italic;"">Vibrio</span> (stool culture using selective media, e.g. DCLS, TCBS, Vibrio ChromoSelect)","YES, Yes, always|SOMETIMES, Sometimes|NO, No, never",,,,,,"[vib_reflex] = 'NO'",,,,reflex_sendout,,
yers_reflex_sendout,g_enterics,,radio,"<span style=""font-style:italic;"">Yersinia</span> (stool culture using selective media, e.g. CIN)","YES, Yes, always|SOMETIMES, Sometimes|NO, No, never",,,,,,"[yers_reflex] = 'NO'",,,,reflex_sendout,,
pcr_brand,g_enterics,"Brand information",radio,"G3c. What is the brand name of the multiplex PCR/NAAT gastrointestinal panel?","BDMAX, BD MAX Enteric Bacterial Panel | BDMAXEX, BD MAX Extended Enteric Bacterial Panel | BIOCODE, BioCode Gastrointestinal Pathogen Panel (GPP) | BIOFIRE, BioFire FilmArray Gastrointestinal (GI) Panel | GREATBASIN, Great Basin Stool Bacterial Pathogens Panel | HOLOGIC, Hologic Prodesse ProGastro SSCS assay | LDT, Laboratory-developed test (LDT) | LUMINEX, Luminex xTAG Gastrointestinal Pathogen Panel (GPP) | VERIGENE, Verigene Enteric Pathogens Test | OTHER, Other commercially available PCR/NAAT test",,,,,,"[campy_methods(PCR)] = '1' or [stec_methods(PCR)] = '1' or [salm_methods(PCR)] = '1' or [shig_methods(PCR)] = '1' or [vib_methods(PCR)] = '1' or [yers_methods(PCR)] = '1'",,LV,,,,
campy_ag_brand,g_enterics,,radio,"G3d. What is the brand name of the <span style=""font-style:italic;"">Campylobacter</span> stool immunoassay (EIA microplate or lateral flow assay)?","ABBOTT, Abbott Campylobacter Quik Chek | ICS, Meridian ImmunoCard STAT! CAMPY | PREMIER, Meridian Premier CAMPY | PROSPECT, Remel ProSpecT Campylobacter | XPECT, Remel Xpect Campylobacter | TECHLAB, Techlab Campylobacter Quik Chek | OTHER, Other commerically available antigen test",,,,,,"[campy_methods(ANTIGEN)] = '1'",,LV,,,,
noro_brand,g_enterics,,radio,"G3f. What is the brand name of the test used to detect <span style='font-style:italic'>Norovirus</span>?","BIOFIRE, BioFire FilmArray Gastrointestinal (GI) Panel | CEPHEID, Cepheid GeneXpert | LDT, Laboratory-developed test (LDT) | LUMINEX, Luminex xTAG Gastrointestinal Pathogen Panel (GPP) | RBIOPHARM, RIDASCREEN Norovirus (r-biopharm) | VERIGENE, Verigene Enteric Pathogens Test | OTHER, Other commercially available test",,,,,,"[noro_onsite] = 'YES'",,LV,,,,
stec_ag_brand,g_enterics,,radio,"G3e. What is the brand name of the shiga toxin stool immunoassay (EIA microplate or lateral flow assay)?","ABBOTT, Abbott Shiga Toxin Quik Chek | DENEKA, Denka Seiken VTEC Screen | DUOPATH, Merck Duopath STEC Rapid Test | ICS, Meridian ImmunoCard STAT! EHEC | PREMIER, Meridian Premier EHEC | PROSPECT, Remel ProSpecT STEC | OTHER, Other commerically available antigen test",,,,,,"[stec_methods(ANTIGEN)] = '1'",,LV,,,,
crypto_methods,g_enterics,"G4. What methods are used to <span style=""text-decoration:underline"";>initially</span> identify the following parasitic organisms in stool specimens?",checkbox,"<span style='font-style:italic'>Cryptosporidium</span>","MICROSCOPY, Staining and microscopy, <br>(modified acid fast stain)|PCR, Multiplex PCR/NAAT gastrointestinal panel|ANTIGEN, Stool immunoassay <br>(EIA microplate)|RAPID, Stool rapid card test <br>(lateral flow assay)|DFA, Direct fluorescent antibody <br>(DFA or IFA)|OTHER, Other <br>(please specify below)",,,,,,"[crypto_onsite] = 'YES'",,,,parasite_methods,,
cyclo_methods,g_enterics,,checkbox,"<span style='font-style:italic'>Cyclospora</span>","MICROSCOPY, Staining and microscopy, <br>(modified acid fast stain)|PCR, Multiplex PCR/NAAT gastrointestinal panel|ANTIGEN, Stool immunoassay <br>(EIA microplate)|RAPID, Stool rapid card test <br>(lateral flow assay)|DFA, Direct fluorescent antibody <br>(DFA or IFA)|OTHER, Other <br>(please specify below)",,,,,,"[cyclo_onsite] = 'YES'",,,,parasite_methods,,
parasite_methods_other,g_enterics,,notes,"G4a. Other methods, please specify <span style=""text-decoration:underline"";>any other methods</span> used to initially identify enteric pathogens from stool specimens.",,,,,,,"[crypto_methods(OTHER)] = '1' or [cyclo_methods(OTHER)] = '1'",,LV,,,,
microscopy,g_enterics,,radio,"G4b. What technique(s) are used for staining and microscopy?","WET, Wet mount (unenhanced)|UV, Wet mount with UV fluorescence|ACID, Modified acid-fast or modified safranin stained smear|OTHER, Other technique(s)",,,,,,"[cyclo_methods(MICROSCOPY)] = '1'",,LV,,,,
list_onsite,g_enterics,Listeria,radio,"G5. Does your laboratory test blood or CSF specimens <span style=""text-decoration:underline;"">on site</span> (in house)</span> for <span style=""font-style:italic;"">Listeria</span>?","YES, Yes|NO, No",,,,,,,y,LV,,,,
list_methods_blood,g_enterics,,radio,"G5a. Which of the following protocols are followed to detect <span style=""font-style:italic;"">Listeria</span> from <span style=""text-decoration:underline;"">blood</span>?","CIDT_CX, PCR concurrently used with culture | CIDT_THEN_CX, PCR performed first, if positive reflex culture performed | CIDTONLY, <span style=""text-decoration:underline"", style=""font-style:italic;""> Only PCR panels</span>, no culture is performed | CXONLY, <span style=""text-decoration:underline"" , style=""font-style:italic;""> Only culture</span>, no PCR test is performed | CSFONLY, Only CSF, do not test blood specimens",,,,,,[list_onsite]='YES',,LV,,,,
list_methods_csf,g_enterics,,radio,"G5b. Which of the following protocols are followed to detect <span style=""font-style:italic;"">Listeria</span> from <span style=""text-decoration:underline;"">CSF</span>?","CIDT_CX, PCR concurrently used with culture | CIDT_THEN_CX, PCR performed first, if positive reflex culture performed | CIDTONLY, <span style=""text-decoration:underline"", style=""font-style:italic;""> Only PCR panels</span>, no culture is performed | CXONLY, <span style=""text-decoration:underline"" , style=""font-style:italic;""> Only culture</span>, no PCR test is performed | BLOODONLY, Only blood, do not test CSF specimens",,,,,,[list_onsite]='YES',,LV,,,,
list_pcr_blood,g_enterics,,checkbox,"G5c. What is the brand name of the <span style=""text-decoration:underline;"">blood</span> panel?","filmBC, FilmArray (BioFire) Blood Culture Identification Panel | veriBC, Verigene (Nanosphere) Gram-positive Blood Culture Test | LDT, Lab-developed test that detects Listeria | Other, Other commercially available PCR test",,,,,,"[list_methods_blood] = 'CIDT_CX' or [list_methods_blood] = 'CIDT_THEN_CX' or [list_methods_blood] = 'CIDTONLY'",,LV,,,,
list_pcr_csf,g_enterics,,checkbox,"G5d. What is the brand name of the <span style=""text-decoration:underline;"">CSF</span> panel?","filmME, FilmArray (BioFire) Meningitis/Encephalitis (ME) Panel | LDT, Lab-developed test that detects Listeria | Other, Other commercially available PCR test",,,,,,"[list_methods_csf] = 'CIDTONLY' or [list_methods_csf] = 'CIDT_THEN_CX' or [list_methods_csf] = 'CIDT_CX'",,LV,,,,
comments,g_enterics,Comments,notes,"Please provide any comments/feedback on the enterics section.",,comments,,,,,,,LH,,,,
incatchment,h_c_difficile_eip_only,,yesno,"<div class=""rich-text-field-label""><p>CDPHE currently conducts populaton-based surveillance for <em>C. difficile </em>in the 5-county Denver metroplitan area.</p> <p> </p> <p>Is your laboratory located in Adams, Arapahoe, Boulder, Broomfield, Denver, Douglas or Jefferson County?</p> <p style=""text-align: center;"">OR</p> <p>Does your laboratory provide testing services to residents/healthcare providers in these counties?</p></div>",,,,,,,,y,,,,,
stop,h_c_difficile_eip_only,,descriptive,"<div class=""rich-text-field-label""><p>You do not need to complete the<em> C.difficile</em> portion of the survey. Thank you!</p></div>",,,,,,,"[incatchment] = '0'",,,,,,
section2instructions,h_c_difficile_eip_only,,descriptive,"Instructions: This survey is intended to capture testing practices at your laboratory between January 1, 2021
and December 31, 2021.",,,,,,,,,,,,,
position_of_staff_respondi,h_c_difficile_eip_only,,radio,"Position of staff responding to survey","1, Laboratory Supervisor | 2, Microbiology Supervisor | 3, Other",,,,,,"[incatchment] = '1'",y,LV,,,,
role_specify,h_c_difficile_eip_only,,text,"Specify: ",,,,,,,"[position_of_staff_respondi] = '3'",,LV,,,,
cdiffoffsite_b30c3e,h_c_difficile_eip_only,"<p style=""font-size:1.5em;color:#6c1e1e;font-weight:bold;font-style:italic;text-align:center;padding-top:0px;padding-bottom:0px;margin-top:0px;margin-bottom:0px;"">1. OFF-SITE TESTING</p>",radio,"H1. Did your lab ever send specimens off-site for <i>Clostridioides difficile</i> testing in 2021?","1, Always (No onsite testing performed) | 2, Regularly, as part of standard testing algorithm | 3, Not regularly, but when a test ordered by a physician cannot be performed onsite | 4, Never (<b>All</b> testing performed onsite) | 5, Unknown | 6, Other",,,,,,"[incatchment] = '1'",y,LV,,,,
name_of_offsite_lab_542767,h_c_difficile_eip_only,,text,"Name of offsite lab",,,,,,,"[cdiffoffsite_b30c3e] = '1' or [cdiffoffsite_b30c3e] = '2' or [cdiffoffsite_b30c3e] = '3'",y,,,,,
testnotonsite_503379,h_c_difficile_eip_only,,text,"Which tests are done offsite and at which point in the testing algorithm?",,,,,,,"[cdiffoffsite_b30c3e] = '2'",y,,,,,
specify_tests_1f7f10,h_c_difficile_eip_only,,text,"Specify tests performed offsite:",,,,,,,"[cdiffoffsite_b30c3e] = '1' and [cdiffoffsite_b30c3e] = '2' and [cdiffoffsite_b30c3e] = '3'",y,,,,,
cdiffoffsiteoth_b2a5d2,h_c_difficile_eip_only,,notes,Specify:,,,,,,,"[cdiffoffsite_b30c3e] = '6'",y,LH,,,,
ost_comments_ded171,h_c_difficile_eip_only,,notes,"Comments on off-site testing:",,,,,,,"[cdiffoffsite_b30c3e] > '1'",,LV,,,,
firstlinetype_3d6244,h_c_difficile_eip_only,"<p style=""font-size:1.5em;color:#6c1e1e;font-weight:bold;font-style:italic;text-align:center;padding-top:0px;padding-bottom:0px;margin-top:0px;margin-bottom:0px;"">2. TESTING ROUTINE</p>",radio,"H2a. What type and order of testing was <b>routinely</b> used by your lab in standard testing for <i>C. diff</i> in 2021?

<div style=""width:100%; color:#FFF; background-color:#1569C7; padding:5px; position:relative; top:-5px; left:-5px;""><span style=""font-size: 10pt""><font face=""times"">1st Line of Testing:</div>","1, A. EIA Toxin A and B | 2, B. EIA for Toxin A only | 3, C. EIA for Toxin B only | 4, D. EIA Antigen (GDH) | 5, E. EIA Toxin A/B and Antigen (Simultaneous testing) | 6, F. EIA Other | 7, G. Nucleic Acid Amplification (e.g. PCR, Illumigene, Luminex, Biofire) | 8, H. Culture | 9, I. Cytotoxin | 10, J. Other | 11, K. No one routine test; clients can order from among several tests | 12, L. NONE (N/A)","Choose only one option for each line of testing",,,,,"[cdiffoffsite_b30c3e] > '1'",y,LV,,,,
eiatypeoth1_6896dd,h_c_difficile_eip_only,,text,"Specify other EIA type:",,,,,,,"[firstlinetype_3d6244] = '6'",y,,,,,
linetypeoth1_c6105b,h_c_difficile_eip_only,,text,"Specify other test type:",,,,,,,"[firstlinetype_3d6244] = '10'",y,,,,,
linechoose1_65f54a,h_c_difficile_eip_only,,text,"Specify types:",,"Enter letters from choices above",,,,,"[firstlinetype_3d6244] = '11'",y,RH,,,,
secondlinetype_3584da,h_c_difficile_eip_only,,radio,"<div style=""width:100%; color:#FFF; background-color:#1569C7; padding:5px; position:relative; top:-5px; left:-5px;""><span style=""font-size: 10pt""><font face=""times"">2nd Line of Testing:</div>","1, A. EIA Toxin A and B|2, B. EIA for Toxin A only|3, C. EIA for Toxin B only|4, D. EIA Antigen (GDH)|5, E. EIA Toxin A/B and Antigen (Simultaneous testing)|6, F. EIA Other|7, G. Nucleic Acid Amplification (e.g. PCR, Illumigene, Luminex)|8, H. Culture|9, I. Cytotoxin|10, J. Other|11, K. No one routine test; clients can order from among several tests|12, L. NONE (N/A)","Choose only one option for each line of testing",,,,,"[cdiffoffsite_b30c3e] > '1' && [firstlinetype_3d6244] <> '12'",y,LV,,,,
eiatypeoth2_fbe9b5,h_c_difficile_eip_only,,text,"Specify other EIA type:",,,,,,,"[secondlinetype_3584da] = '6'",y,,,,,
linetypeoth2_3ae623,h_c_difficile_eip_only,,text,"Specify other test type:",,,,,,,"[secondlinetype_3584da] = '10'",y,,,,,
linechoose2_d11d89,h_c_difficile_eip_only,,text,"Specify tests from which clients could choose:",,"Enter letters from choices above",,,,,"[secondlinetype_3584da] = '11'",y,RH,,,,
thirdlinetype_a896be,h_c_difficile_eip_only,,radio,"<div style=""width:100%; color:#FFF; background-color:#1569C7; padding:5px; position:relative; top:-5px; left:-5px;""><span style=""font-size: 10pt""><font face=""times"">3rd Line of Testing:</div>","1, A. EIA Toxin A and B|2, B. EIA for Toxin A only|3, C. EIA for Toxin B only|4, D. EIA Antigen (GDH)|5, E. EIA Toxin A/B and Antigen (Simultaneous testing)|6, F. EIA Other|7, G. Nucleic Acid Amplification (e.g. PCR, Illumigene, Luminex)|8, H. Culture|9, I. Cytotoxin|10, J. Other|11, K. No one routine test; clients can order from among several tests|12, L. NONE (N/A)","Choose only one option for each line of testing",,,,,"[cdiffoffsite_b30c3e] > '1' && [secondlinetype_3584da] <> '12' && [firstlinetype_3d6244] <> '12'",y,LV,,,,
eiatypeoth3_b3a8aa,h_c_difficile_eip_only,,text,"Specify other EIA type:",,,,,,,"[thirdlinetype_a896be] = '6'",y,,,,,
linetypeoth3_e52033,h_c_difficile_eip_only,,text,"Specify other test type:",,,,,,,"[thirdlinetype_a896be] = '10'",y,,,,,
linechoose3_852ad7,h_c_difficile_eip_only,,text,"Specify tests from which clients could choose:",,"Enter letters from choices above",,,,,"[thirdlinetype_a896be] = '11'",y,RH,,,,
secondlinespec_7b0cc6,h_c_difficile_eip_only,,radio,"H2b. Which specimens are used during your <u>2nd line</u> of testing?","1, Positive by the 1st line of testing | 2, Negative by the 1st line of testing | 3, Specimens with discordant results (e.g. EIA +/GDH- or GDH+/EIA-) | 4, All specimens","Choose one",,,,,"[cdiffoffsite_b30c3e] > '1' && [firstlinetype_3d6244] <> '12' && [secondlinetype_3584da] <> '12'",y,LV,,,,
thirdlinespec_e0da31,h_c_difficile_eip_only,,radio,"<div class=""rich-text-field-label""><p>H2c. Which specimens are used during your <u>3rd line</u> of testing?</p></div>","1, Positive by the 2nd line of testing | 2, Negative by the 2nd line of testing | 3, Specimens with discordant results (e.g. EIA +/GDH- or GDH+/EIA-) | 4, All specimens","Choose one",,,,,"[cdiffoffsite_b30c3e] > '1' && [firstlinetype_3d6244] <> '12' && [secondlinetype_3584da] <> '12' && [thirdlinetype_a896be] <> '12'",y,LV,,,,
labonsiteoutside,h_c_difficile_eip_only,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;""><strong><span style=""font-size: 11.0pt; font-family: 'Calibri',sans-serif; mso-ascii-theme-font: minor-latin; mso-fareast-font-family: 'Times New Roman'; mso-hansi-theme-font: minor-latin; mso-bidi-font-family: 'Times New Roman'; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">H2d. Did your laboratory perform any onsite testing for <em>C. difficile</em> outside of your normal testing algorithm in 2021?</span></strong></span></p></div>","1, No, all onsite testing is done according to the testing algorithm specified above | 2, Yes, on physician request | 3, Other",,,,,,"[cdiffoffsite_b30c3e] > '1'",y,LV,,,,
labonsiteoutsidespecify1,h_c_difficile_eip_only,,text,"<div class=""rich-text-field-label""><p>Specify tests:</p></div>",,,,,,,"[labonsiteoutside] = '2'",,LV,,,,
labonsiteoutsidespecify2,h_c_difficile_eip_only,,text,"<div class=""rich-text-field-label""><p>Specify</p></div>",,,,,,,"[labonsiteoutside] = '3'",,LV,,,,
eiakit_3b6833,h_c_difficile_eip_only,"<p style=""font-size:1.5em;color:#6c1e1e;font-weight:bold;font-style:italic;text-align:center;padding-top:0px;padding-bottom:0px;margin-top:0px;margin-bottom:0px;"">3. TESTING KITS</p>",checkbox,"H3a. Which EIA test kit was used by your laboratory in 2021?","1, Premier (Meridian) Toxins A & B | 2, Premier (Meridian) Toxin A | 3, Remel ProSpecT Toxins A & B | 4, TechLab Toxins A & B | 5, Inverness Medical/Wampole Toxins A & B QuikCheck | 6, Inverness Medical/Wampole QuikCheck Complete (Toxins A & B and Antigen) | 7, Antigen Testing | 8, Other | 9, N/A (Do not use EIA testing)","Check all that apply",,,,,"[cdiffoffsite_b30c3e] > '1'",y,LV,,,,
antigenkit_8216b1,h_c_difficile_eip_only,,text,"Specify antigen testing kit name/manufacturer:",,,,,,,"[eiakit_3b6833(7)] = '1'",y,,,,,
eiakitoth_7b2c8a,h_c_difficile_eip_only,,text,"Specify other kit name/manufacturer:",,,,,,,"[eiakit_3b6833(8)] = '1'",y,,,,,
nucleicacidtest_eca52c,h_c_difficile_eip_only,,checkbox,"H3b. Which <u>Nucleic Acid Amplification</u> tests were used by your laboratory in 2021?","1, BD-GeneOhm <i>C. difficile</i> | 2, BD MAX <i>C. difficile</i> | 3, Cepheid Xpert <i>C. difficile</i> | 4, Meridian Illumigene | 5, Prodesse (Gen-Probe) Progastro CD | 6, Luminex xTAG GPP | 7, Biofire Filmarray GI Panel | 8, Quidel AmpliVue <i>C. difficile</i> Assay | 9, Great Basin Portrait Toxigenic <i>C. difficile</i> Assay | 10, Nanosphere Verigene SP | 11, Other | 12, N/A (Do not use nucleic acid amplification)","Check all that apply",,,,,"[cdiffoffsite_b30c3e] > '1'",y,LV,,,,
specifyothertest1,h_c_difficile_eip_only,,text,"<div class=""rich-text-field-label""><p>Specify other test:</p></div>",,,,,,,"[nucleicacidtest_eca52c(11)] = '1'",y,LV,,,,
multiplex,h_c_difficile_eip_only,"<div class=""rich-text-field-label""><p style=""font-size: 1.5em; color: #6c1e1e; font-weight: bold; font-style: italic; text-align: center; padding-top: 0px; padding-bottom: 0px; margin-top: 0px; margin-bottom: 0px;"">4. MULTIPLEX GI PANELS</p></div>",radio,"<div class=""rich-text-field-label""><p>H4a. If your laboratory used a multiplexed molecular diagnostic (e.g., Biofire Filmarray GI Panel, Luminex xTAG GPP) to test for several GI Pathogens in 2021, did your laboratory suppress the <em>C. diff</em> result so clinicians could not see it?</p></div>","1, Yes, C. difficile result is always suppressed | 2, Yes, C. difficile result is suppressed at clinician request | 3, Yes, C. difficile result is suppressed but the laboratory will release the result upon clinician request | 4, Yes, C. difficile result is suppressed in certain situations | 5, No, clinicians always see C. difficile result | 6, N/A (Do not use multiplexed molecular diagnostic)",,,,,,"[cdiffoffsite_b30c3e] > '1'",y,LV,,,,
multiplex2,h_c_difficile_eip_only,,text,"<div class=""rich-text-field-label""><p>Specify:</p></div>",,,,,,,"[multiplex] = '4'",y,LV,,,,
multiplex3,h_c_difficile_eip_only,,radio,"<div class=""rich-text-field-label""><p>H4b. If your laboratory used a multiplexed diagnostic in 2021 and the result was suppressed, where did the suppression occur?</p></div>","1, At the multiplexed molecular diagnostic instrument level (the result is not entered into the laboratory information management system (LIMS)) | 2, At the laboratory information management system (LIMS) level | 3, Other | 4, N/A (Do not use multiplexed molecular diagnostic or the result is never suppressed)",,,,,,"[cdiffoffsite_b30c3e] > '1'",y,LV,,,,
multiplex4,h_c_difficile_eip_only,,text,"<div class=""rich-text-field-label""><p>Specify:</p></div>",,,,,,,"[multiplex3] = '3'",,LV,,,,
naat_suppress,h_c_difficile_eip_only,"<div class=""rich-text-field-label""><p style=""font-size: 1.5em; color: #6c1e1e; font-weight: bold; font-style: italic; text-align: center; padding-top: 0px; padding-bottom: 0px; margin-top: 0px; margin-bottom: 0px;"">5. Multistep Algorithm Testing for C. difficile</p></div>",radio,"H5a. If your laboratory used a nucleic acid amplification test (NAAT) (e.g., Cepheid Xpert <em>C. difficile</em>) as first line testing followed by a toxin EIA test (whenever NAAT result is positive) in 2021 , did your laboratory suppress the positive NAAT result so that clinicians could not see it?","1, Yes, NAAT result is always suppressed when NAAT result is positive and confirmatory toxin EIA result is negative | 2, Yes, NAAT result is always suppressed but laboratory will release the positive NAAT result upon clinician request | 3, Yes, NAAT result is suppressed in certain situations | 4, No, clinicians always see the positive NAAT result | 5, N/A (Do not use this type of multistep algorithm testing)",,,,,,"[cdiffoffsite_b30c3e] > '1'",y,LV,H5a,,,
naat_suppress_other,h_c_difficile_eip_only,,text,Specify:,,,,,,,"[naat_suppress] = '3'",y,LV,,,,
interpretation,h_c_difficile_eip_only,,radio,"<div class=""rich-text-field-label""><p>H5b. If your laboratory used NAAT as first line testing followed by confirmatory toxin EIA testing in 2021, and BOTH the NAAT and toxin EIA results were released to the clinician, did your laboratory provide any comments to help the clinician interpret the test results (e.g., NAAT-positive only result might represent colonization, etc.)?</p></div>","1, Yes, laboratory provides comments to accompany the test results | 2, No, laboratory does not provide comments to accompany the test results | 3, The laboratory provides comments to accompany the test results in certain situations | 4, N/A (Do not use this type of multistep algorithm testing or NAAT test result is always suppressed)",,,,,,"[cdiffoffsite_b30c3e] > '1'",y,LV,H5b,,,
interpretation_specify,h_c_difficile_eip_only,,notes,"<div class=""rich-text-field-label""><p>If yes, please specify <span style=""font-weight: normal;"">the comments your laboratory uses to accompany the test results:</span></p></div>",,,,,,,"[interpretation] = '1'",y,LV,,,,
interpretation_certain,h_c_difficile_eip_only,,notes,"<div class=""rich-text-field-label""><p>If yes, please specify<span style=""font-weight: normal;""> the situations in which your laboratory provides comments and the comments your laboratory uses to accompany the test results:</span></p></div>",,,,,,,"[interpretation] = '3'",y,LV,,,,
testingcodes1,h_c_difficile_eip_only,"<p style=""font-size:1.5em;color:#6c1e1e;font-weight:bold;font-style:italic;text-align:center;padding-top:0px;padding-bottom:0px;margin-top:0px;margin-bottom:0px;"">6. TESTING CODES</p>",text,"<div class=""rich-text-field-label""><p>H6a. What are the LOINC or internal testing codes associated with the tests your lab used in 2021 (e.g. LOINC codes 13957-6, 34713-8 or 54067-4)?</p></div>",,,,,,,"[cdiffoffsite_b30c3e] > '1'",y,LV,,,,
data_system_changes,h_c_difficile_eip_only,,radio,"H6b. Have  there been any changes in the laboratory's data management system (e.g., changes in software) and data entry procedures (e.g., using a different field in the local database for entering test results) that might affect how cases are identified by laboratory queries since January 2021?","1, Yes | 2, No | 3, Unsure",,,,,,"[cdiffoffsite_b30c3e] > '1'",y,LV,,,,
when_did_this_change_occur,h_c_difficile_eip_only,,text,"When did this change occur? (MM/YYYY)",,,,,,,"[data_system_changes] = '1'",,LV,,,,
please_describe,h_c_difficile_eip_only,,notes,"Please describe: ",,,,,,,"[data_system_changes] = '1'",,LV,,,,
shortage_7a,h_c_difficile_eip_only,"<p style=""font-size: 1.5em; color: #6c1e1e; font-weight: bold; font-style: italic; text-align: center; padding-top: 0px; padding-bottom: 0px; margin-top: 0px; margin-bottom: 0px;"">7. CDI Testing Shortage and Capacity</p>",radio,"<div class=""rich-text-field-label""><p>H7a. In 2021, did your lab experience any shortages in supplies, reagents, and/or test kits for performing <em>C. difficile</em> testing (e.g., NAAT or EIA reagents, swabs)?</p></div>","1, Yes | 2, No | 3, N/A (C. difficile testing was not routinely performed onsite)",,,,,,"[cdiffoffsite_b30c3e] > '1'",y,LV,,,,
supply_dates,h_c_difficile_eip_only,,text,"<div class=""rich-text-field-label""><p>If yes, please specify <span style=""font-weight: normal;"">the dates during which the supply shortage occurred (provide approximate dates if the exact dates are not known):</span></p></div>",,,,,,,"[shortage_7a] = '1'",,RH,,,,
supply_affect,h_c_difficile_eip_only,,checkbox,"<div class=""rich-text-field-label""><p>H7b. If your laboratory experienced a supply shortage for <em>C. difficile</em> testing in 2021, how did the shortage affect your laboratory's ability to perform <em>C. difficile</em> testing? <em>(Check all that apply)</em></p></div>","1, We had to decrease the frequency of C. difficile testing during the shortage | 2, We had to switch to an alternative method to test for C. difficile during the shortage | 3, We were not able to perform any type of C. difficile testing during the shortage | 4, We had to send all C. difficile testing offsite to another laboratory | 5, The shortage did not affect our ability to perform C. difficile testing | 6, Other | 7, N/A (C. difficile testing was not routinely performed onsite)",,,,,,"[shortage_7a] = '1'",y,LV,,,,
supply_affect_other,h_c_difficile_eip_only,,text,"Specify: ",,,,,,,"[supply_affect(6)] = '1'",,RH,,,,
supply_affect_cdi,h_c_difficile_eip_only,,radio,"<div class=""rich-text-field-label""><p>H7c. In 2021, did your laboratory experience a high demand for COVID-19 testing that limited the availability of staff (e.g., reduced staffing or work time) or the use of equipment to perform <em>C. difficile</em> testing?</p></div>","1, Yes | 2, No | 3, N/A (C. difficile testing and/or COVID-19 testing was not routinely performed onsite)",,,,,,"[cdiffoffsite_b30c3e] > '1'",y,LV,,,,
labtestchange_511fb5,h_c_difficile_eip_only,"<div class=""rich-text-field-label""><p style=""font-size: 1.5em; color: #6c1e1e; font-weight: bold; font-style: italic; text-align: center; padding-top: 0px; padding-bottom: 0px; margin-top: 0px; margin-bottom: 0px;"">8. LABORATORY ALGORITHM CHANGES</p></div>",radio,"H8. Did your lab testing algorithm for <i>C. difficile</i> change between January 1, 2021 and December 31, 2021?","1, Yes | 2, No",,,,,,"[cdiffoffsite_b30c3e] > '1'",y,RH,,,,
testchangedate_974898,h_c_difficile_eip_only,,text,"What date did this change occur? ",,"If only the month and year are available, enter ""01"" as the day, i.e., 11/2020 enter as 11/01/2020",date_mdy,,,,"[labtestchange_511fb5] = '1'",y,,,,,
prevfirstlinetype_ad2ad5,h_c_difficile_eip_only,,radio,"H6a. What was the previous type and order of testing performed by your lab in 2021 before it changed
its testing algorithm?

<div style=""width:100%; color:#FFF; background-color:#1569C7; padding:5px; position:relative; top:-5px; left:-5px;""><span style=""font-size: 10pt""><font face=""times"">Previous 1st Line of Testing:</div>","1, A. EIA Toxin A and B | 2, B. EIA for Toxin A only | 3, C. EIA for Toxin B only | 4, D. EIA Antigen (GDH) | 5, E. EIA Toxin A/B and Antigen (Simultaneous testing) | 6, F. EIA Other | 7, G. Nucleic Acid Amplification (e.g. PCR, Illumigene, Luminex, Biofire) | 8, H. Culture | 9, I. Cytotoxin | 10, J. Other | 11, K. No one routine test; clients can order from among several tests | 12, L. NONE (N/A)","Choose only one option for each line of testing",,,,,"[labtestchange_511fb5] = '1'",y,LV,,,,
